MSZoning,LotArea,OverallCond,YearBuilt,BedroomAbvGr,KitchenQual,GarageCars,PoolQC,SalePrice,N_Bath
Residencial Densidad Media,1000-5000,5,2000-2004,2,Bueno,2,Bueno,275000,2
Residencial Densidad Media,1000-5000,9,1940-1944,2,Bueno,0,Bueno,110500,1
Residencial Baja Densidad,1000-5000,5,2005-2009,2,Bueno,3,Bueno,194201,2
Residencial Baja Densidad,1000-5000,5,2005-2009,2,Bueno,3,Bueno,172500,2
Residencial Densidad Media,1000-5000,8,1925-1929,3,Regular,1,Regular,115000,1
Residencial Pueblo Flotante,1000-5000,5,2005-2009,2,Bueno,2,Bueno,164500,3
Residencial Densidad Media,1000-5000,4,1970-1974,5,Regular,2,Regular,151400,3
Residencial Baja Densidad,1000-5000,5,2005-2009,1,Excelente,3,Excelente,264561,2
Residencial Pueblo Flotante,1000-5000,5,2005-2009,2,Bueno,2,Bueno,171900,3
Residencial Baja Densidad,1000-5000,6,1975-1979,2,Regular,2,Regular,140000,2
Residencial Baja Densidad,1000-5000,5,1975-1979,2,Regular,2,Regular,127500,2
Residencial Baja Densidad,1000-5000,5,2005-2009,2,Bueno,3,Bueno,246578,2
Residencial Alta Densidad,1000-5000,5,1995-1999,1,Regular,1,Regular,133000,1
Residencial Baja Densidad,1000-5000,8,1920-1924,2,Regular,0,Regular,99900,1
Residencial Alta Densidad,1000-5000,5,1995-1999,2,Bueno,2,Bueno,181000,2
Residencial Densidad Media,1000-5000,4,1940-1944,2,Malo,0,Malo,52500,1
Residencial Baja Densidad,1000-5000,6,1930-1934,2,Regular,0,Regular,52000,1
Residencial Densidad Media,1000-5000,7,1975-1979,3,Regular,2,Regular,129900,1
Residencial Densidad Media,1000-5000,5,1975-1979,3,Regular,2,Regular,134000,2
Residencial Pueblo Flotante,1000-5000,5,2005-2009,2,Bueno,2,Bueno,208900,2
Residencial Pueblo Flotante,1000-5000,5,2005-2009,2,Bueno,2,Bueno,164700,3
Residencial Alta Densidad,1000-5000,6,1930-1934,3,Bueno,0,Bueno,79000,1
Residencial Pueblo Flotante,1000-5000,5,2005-2009,1,Bueno,2,Bueno,199900,2
Residencial Baja Densidad,1000-5000,6,1910-1914,2,Bueno,1,Bueno,90350,1
Residencial Pueblo Flotante,1000-5000,5,2000-2004,2,Bueno,2,Bueno,196000,2
Residencial Densidad Media,1000-5000,7,1925-1929,3,Regular,0,Regular,87000,1
Residencial Densidad Media,1000-5000,8,1915-1919,2,Regular,2,Regular,116000,1
Residencial Pueblo Flotante,1000-5000,5,2005-2009,2,Bueno,2,Bueno,222000,3
Residencial Densidad Media,1000-5000,5,2000-2004,1,Bueno,2,Bueno,149300,1
Residencial Densidad Media,1000-5000,5,2000-2004,1,Bueno,2,Bueno,141000,1
Residencial Densidad Media,1000-5000,5,2000-2004,1,Bueno,2,Bueno,143000,1
Residencial Densidad Media,1000-5000,5,2000-2004,1,Bueno,2,Bueno,131500,1
Residencial Densidad Media,1000-5000,5,2000-2004,1,Bueno,2,Bueno,136500,1
Residencial Densidad Media,1000-5000,5,2000-2004,1,Bueno,2,Bueno,140000,1
Residencial Densidad Media,1000-5000,5,2000-2004,1,Bueno,2,Bueno,144000,1
Residencial Densidad Media,1000-5000,5,2000-2004,1,Bueno,2,Bueno,155900,1
Residencial Densidad Media,1000-5000,5,2000-2004,1,Bueno,2,Bueno,149000,1
Residencial Densidad Media,1000-5000,5,2000-2004,1,Bueno,2,Bueno,144500,1
Residencial Densidad Media,1000-5000,5,1915-1919,2,Regular,0,Regular,113000,2
Residencial Densidad Media,1000-5000,5,1995-1999,2,Regular,2,Regular,162000,2
Residencial Densidad Media,1000-5000,5,1995-1999,2,Regular,2,Regular,153500,2
Residencial Alta Densidad,1000-5000,5,1930-1934,3,Regular,1,Regular,159434,1
Residencial Densidad Media,1000-5000,5,1995-1999,2,Regular,2,Regular,164000,2
Residencial Densidad Media,1000-5000,5,1995-1999,2,Regular,2,Regular,165000,2
Residencial Densidad Media,1000-5000,5,1915-1919,4,Regular,3,Regular,98000,1
Residencial Baja Densidad,1000-5000,5,2005-2009,2,Bueno,2,Bueno,209500,2
Residencial Densidad Media,1000-5000,6,1940-1944,2,Regular,1,Regular,80000,1
Residencial Baja Densidad,1000-5000,5,1985-1989,2,Bueno,2,Bueno,189000,2
Residencial Baja Densidad,1000-5000,7,1945-1949,3,Regular,1,Regular,121600,2
Residencial Densidad Media,1000-5000,5,2005-2009,2,Bueno,2,Bueno,235000,2
Residencial Densidad Media,1000-5000,7,1915-1919,2,Regular,2,Regular,109900,1
Residencial Baja Densidad,1000-5000,5,2000-2004,2,Bueno,2,Bueno,213500,2
Residencial Baja Densidad,1000-5000,5,2000-2004,0,Excelente,2,Excelente,286000,2
Residencial Baja Densidad,1000-5000,6,1975-1979,2,Regular,2,Regular,143750,2
Residencial Baja Densidad,1000-5000,5,1975-1979,2,Regular,2,Regular,128000,2
Residencial Baja Densidad,1000-5000,6,1920-1924,3,Bueno,1,Bueno,127000,2
Residencial Baja Densidad,1000-5000,3,1945-1949,1,Malo,0,Malo,39300,1
Residencial Densidad Media,1000-5000,4,1895-1899,3,Regular,1,Regular,79000,1
Residencial Densidad Media,1000-5000,7,1945-1949,3,Regular,2,Regular,159000,2
Residencial Densidad Media,1000-5000,6,1940-1944,2,Regular,2,Regular,87000,1
Residencial Baja Densidad,5000-10000,5,2005-2009,2,Bueno,2,Bueno,230000,2
Residencial Baja Densidad,5000-10000,5,1980-1984,3,Bueno,2,Bueno,207500,2
Residencial Baja Densidad,5000-10000,5,2005-2009,2,Bueno,2,Bueno,207500,2
Residencial Densidad Media,5000-10000,7,1920-1924,3,Bueno,1,Bueno,161000,1
Residencial Pueblo Flotante,5000-10000,5,2000-2004,2,Bueno,2,Bueno,148800,3
Residencial Pueblo Flotante,5000-10000,5,1995-1999,2,Bueno,2,Bueno,328900,2
Residencial Densidad Media,5000-10000,5,1920-1924,2,Regular,2,Regular,73000,1
Residencial Densidad Media,5000-10000,5,1870-1874,4,Regular,0,Regular,122000,2
Residencial Baja Densidad,5000-10000,5,1985-1989,2,Bueno,2,Bueno,190000,2
Residencial Baja Densidad,5000-10000,7,1985-1989,2,Bueno,2,Bueno,239000,2
Residencial Densidad Media,5000-10000,8,1905-1909,2,Bueno,1,Bueno,117000,1
Residencial Baja Densidad,5000-10000,5,1995-1999,2,Excelente,2,Excelente,251000,2
Residencial Baja Densidad,5000-10000,7,1935-1939,2,Malo,0,Malo,82500,1
Residencial Baja Densidad,5000-10000,2,1935-1939,3,Malo,0,Malo,76500,1
Residencial Baja Densidad,5000-10000,6,1905-1909,3,Regular,2,Regular,139000,2
Residencial Baja Densidad,5000-10000,5,2000-2004,1,Bueno,2,Bueno,196000,2
Residencial Baja Densidad,5000-10000,5,1990-1994,2,Bueno,2,Bueno,236500,2
Residencial Baja Densidad,5000-10000,5,1990-1994,2,Bueno,2,Bueno,180000,2
Residencial Baja Densidad,5000-10000,6,1920-1924,2,Regular,1,Regular,108480,1
Residencial Densidad Media,5000-10000,7,1925-1929,3,Bueno,1,Bueno,152000,2
Residencial Baja Densidad,5000-10000,6,1915-1919,2,Excelente,1,Excelente,86000,1
Residencial Baja Densidad,5000-10000,7,1950-1954,2,Bueno,1,Bueno,117000,1
Residencial Baja Densidad,5000-10000,6,1915-1919,2,Regular,1,Regular,105000,1
Residencial Densidad Media,5000-10000,8,1920-1924,3,Bueno,1,Bueno,125500,1
Residencial Baja Densidad,5000-10000,6,1955-1959,1,Regular,0,Regular,103200,1
Residencial Densidad Media,5000-10000,7,1925-1929,3,Regular,2,Regular,130000,1
Residencial Densidad Media,5000-10000,6,1910-1914,5,Regular,0,Regular,104000,1
Residencial Densidad Media,5000-10000,7,1915-1919,4,Regular,0,Regular,79900,1
Residencial Densidad Media,5000-10000,5,2005-2009,2,Bueno,2,Bueno,392500,2
Residencial Densidad Media,5000-10000,5,1925-1929,3,Malo,0,Malo,55000,2
Residencial Baja Densidad,5000-10000,6,1920-1924,2,Regular,0,Regular,98000,1
Residencial Baja Densidad,5000-10000,5,1995-1999,2,Excelente,2,Excelente,278000,2
Residencial Densidad Media,5000-10000,8,1925-1929,2,Bueno,1,Bueno,110000,1
Residencial Baja Densidad,5000-10000,6,1910-1914,6,Malo,0,Malo,135900,2
Residencial Densidad Media,5000-10000,7,1925-1929,2,Regular,1,Regular,116900,1
Residencial Densidad Media,5000-10000,6,1940-1944,3,Regular,1,Regular,66500,2
Residencial Densidad Media,5000-10000,8,1935-1939,2,Regular,1,Regular,91300,1
Residencial Densidad Media,5000-10000,6,1910-1914,3,Regular,1,Regular,107400,2
Residencial Baja Densidad,5000-10000,5,1980-1984,1,Bueno,2,Bueno,187500,1
Residencial Densidad Media,5000-10000,8,1950-1954,3,Regular,1,Regular,126175,1
Residencial Baja Densidad,5000-10000,5,1925-1929,1,Regular,2,Regular,79900,1
Residencial Baja Densidad,5000-10000,7,1955-1959,2,Regular,1,Regular,129000,1
Residencial Densidad Media,5000-10000,8,1925-1929,2,Regular,1,Regular,120500,1
Residencial Baja Densidad,5000-10000,7,1920-1924,2,Malo,0,Malo,85500,1
Residencial Densidad Media,5000-10000,7,1935-1939,2,Regular,2,Regular,89471,1
Residencial Densidad Media,5000-10000,6,1905-1909,2,Regular,0,Regular,37900,1
Residencial Densidad Media,5000-10000,7,1925-1929,2,Regular,1,Regular,119000,1
Residencial Densidad Media,5000-10000,6,1935-1939,4,Regular,1,Regular,132500,1
Residencial Baja Densidad,5000-10000,5,1925-1929,4,Regular,0,Regular,102000,2
Residencial Densidad Media,5000-10000,7,1945-1949,2,Regular,1,Regular,120000,2
Residencial Densidad Media,5000-10000,4,1915-1919,2,Malo,1,Malo,108500,1
Residencial Densidad Media,5000-10000,4,1950-1954,2,Regular,2,Regular,93000,1
Residencial Densidad Media,5000-10000,6,1920-1924,2,Bueno,2,Bueno,110500,1
Residencial Densidad Media,5000-10000,6,1940-1944,3,Regular,2,Regular,131000,1
Residencial Densidad Media,5000-10000,7,1950-1954,2,Regular,1,Regular,107900,1
Residencial Densidad Media,5000-10000,6,1935-1939,3,Regular,1,Regular,128000,1
Residencial Densidad Media,5000-10000,7,1925-1929,3,Regular,1,Regular,120000,1
Residencial Densidad Media,5000-10000,7,1920-1924,2,Regular,1,Regular,89000,1
Residencial Densidad Media,5000-10000,6,1955-1959,3,Regular,1,Regular,112500,1
Residencial Densidad Media,5000-10000,5,1945-1949,2,Regular,1,Regular,115000,1
Residencial Densidad Media,5000-10000,8,1920-1924,3,Regular,1,Regular,117000,1
Residencial Densidad Media,5000-10000,4,1950-1954,3,Bueno,1,Bueno,93000,2
Residencial Densidad Media,5000-10000,9,1935-1939,2,Regular,2,Regular,134900,1
Residencial Baja Densidad,5000-10000,5,1950-1954,2,Malo,0,Malo,82000,2
Residencial Densidad Media,5000-10000,5,1935-1939,3,Regular,1,Regular,100000,1
Residencial Densidad Media,5000-10000,3,1935-1939,1,Malo,0,Malo,60000,1
Residencial Densidad Media,5000-10000,8,1925-1929,2,Regular,2,Regular,132000,1
Residencial Densidad Media,5000-10000,6,1935-1939,3,Regular,2,Regular,141500,2
Residencial Densidad Media,5000-10000,8,1915-1919,4,Regular,1,Regular,137500,2
Residencial Densidad Media,5000-10000,7,1930-1934,2,Regular,1,Regular,105000,1
Residencial Densidad Media,5000-10000,5,1930-1934,2,Regular,2,Regular,129900,2
Residencial Densidad Media,5000-10000,7,1920-1924,3,Regular,1,Regular,88000,1
Residencial Densidad Media,5000-10000,7,1930-1934,3,Bueno,1,Bueno,133000,1
Residencial Densidad Media,5000-10000,6,1920-1924,2,Bueno,0,Bueno,109500,1
Residencial Densidad Media,5000-10000,8,1915-1919,3,Regular,2,Regular,128000,2
Residencial Baja Densidad,5000-10000,6,1920-1924,3,Bueno,1,Bueno,137450,3
Residencial Baja Densidad,5000-10000,6,1965-1969,3,Regular,1,Regular,125500,1
Residencial Densidad Media,5000-10000,5,1925-1929,2,Regular,1,Regular,102000,1
Residencial Baja Densidad,5000-10000,5,1910-1914,5,Regular,1,Regular,118500,1
Residencial Baja Densidad,5000-10000,5,2005-2009,2,Bueno,2,Bueno,254000,2
Residencial Densidad Media,5000-10000,5,1920-1924,2,Regular,2,Regular,103000,1
Residencial Densidad Media,5000-10000,4,1935-1939,3,Regular,1,Regular,115000,1
Residencial Densidad Media,5000-10000,7,1925-1929,3,Regular,2,Regular,162900,2
Residencial Densidad Media,5000-10000,5,1945-1949,2,Regular,0,Regular,80500,1
Residencial Densidad Media,5000-10000,6,1925-1929,3,Regular,1,Regular,149000,1
Residencial Densidad Media,5000-10000,6,1930-1934,3,Regular,1,Regular,127500,1
Residencial Densidad Media,5000-10000,6,1930-1934,3,Regular,2,Regular,114500,1
Residencial Alta Densidad,5000-10000,6,1945-1949,4,Regular,3,Regular,145000,2
Residencial Baja Densidad,5000-10000,7,1925-1929,3,Regular,1,Regular,145000,2
Residencial Baja Densidad,5000-10000,5,1925-1929,2,Regular,1,Regular,91000,1
Residencial Densidad Media,5000-10000,6,1910-1914,3,Regular,0,Regular,128000,2
Residencial Baja Densidad,5000-10000,7,1935-1939,2,Malo,1,Malo,119750,1
Residencial Densidad Media,5000-10000,6,1925-1929,1,Malo,1,Malo,68500,1
Residencial Baja Densidad,5000-10000,8,1870-1874,2,Regular,0,Regular,94000,1
Residencial Baja Densidad,5000-10000,5,2005-2009,2,Bueno,2,Bueno,224000,2
Residencial Densidad Media,5000-10000,6,1920-1924,2,Regular,1,Regular,113000,1
Residencial Densidad Media,5000-10000,5,1915-1919,3,Regular,1,Regular,78000,1
Residencial Baja Densidad,5000-10000,7,1950-1954,2,Regular,1,Regular,123500,1
Residencial Baja Densidad,5000-10000,5,1935-1939,3,Malo,1,Malo,140200,1
Residencial Baja Densidad,5000-10000,5,2005-2009,2,Bueno,2,Bueno,202500,2
Residencial Baja Densidad,5000-10000,5,1980-1984,2,Bueno,2,Bueno,275000,2
Residencial Baja Densidad,5000-10000,8,1980-1984,2,Regular,2,Regular,138000,1
Residencial Baja Densidad,5000-10000,5,1960-1964,2,Regular,1,Regular,109500,1
Residencial Densidad Media,5000-10000,4,1890-1894,4,Regular,1,Regular,107500,2
Residencial Baja Densidad,5000-10000,9,1980-1984,3,Bueno,1,Bueno,130500,1
Residencial Baja Densidad,5000-10000,6,1945-1949,2,Regular,1,Regular,72500,1
Residencial Alta Densidad,5000-10000,6,1920-1924,3,Regular,1,Regular,103600,2
Residencial Baja Densidad,5000-10000,5,2005-2009,2,Bueno,2,Bueno,193879,2
Residencial Baja Densidad,5000-10000,5,2005-2009,2,Bueno,2,Bueno,195400,2
Residencial Baja Densidad,5000-10000,5,2005-2009,2,Bueno,2,Bueno,206000,2
Residencial Baja Densidad,5000-10000,8,1960-1964,3,Bueno,1,Bueno,142000,1
Residencial Densidad Media,5000-10000,8,1930-1934,2,Regular,0,Regular,84500,1
Residencial Baja Densidad,5000-10000,5,2000-2004,2,Bueno,2,Bueno,202665,2
Residencial Baja Densidad,5000-10000,5,1980-1984,1,Bueno,2,Bueno,212000,2
Residencial Baja Densidad,5000-10000,5,2000-2004,2,Bueno,2,Bueno,220000,2
Residencial Baja Densidad,5000-10000,4,1910-1914,4,Malo,1,Malo,128000,2
Residencial Densidad Media,5000-10000,7,1910-1914,3,Bueno,0,Bueno,127000,2
Residencial Baja Densidad,5000-10000,8,1960-1964,3,Regular,1,Regular,127000,2
Residencial Densidad Media,5000-10000,6,1935-1939,2,Regular,1,Regular,120500,1
Residencial Densidad Media,5000-10000,5,1920-1924,2,Malo,2,Malo,100000,1
Residencial Baja Densidad,5000-10000,4,1955-1959,3,Bueno,1,Bueno,130000,1
Residencial Baja Densidad,5000-10000,5,2000-2004,3,Bueno,2,Bueno,165400,3
Residencial Baja Densidad,5000-10000,5,1980-1984,3,Regular,1,Regular,119500,1
Residencial Baja Densidad,5000-10000,5,2000-2004,2,Bueno,2,Bueno,202500,2
Residencial Baja Densidad,5000-10000,6,1965-1969,3,Bueno,2,Bueno,120500,1
Residencial Baja Densidad,5000-10000,5,1960-1964,3,Malo,2,Malo,129000,2
Residencial Baja Densidad,5000-10000,5,1975-1979,0,Regular,2,Regular,144000,0
Residencial Baja Densidad,5000-10000,7,1960-1964,3,Regular,1,Regular,135000,1
Residencial Baja Densidad,5000-10000,7,1905-1909,3,Regular,0,Regular,107500,1
Residencial Baja Densidad,5000-10000,8,1975-1979,3,Regular,1,Regular,136500,1
Residencial Baja Densidad,5000-10000,6,1920-1924,2,Regular,1,Regular,112000,2
Residencial Baja Densidad,5000-10000,7,1955-1959,2,Regular,1,Regular,135000,1
Residencial Baja Densidad,5000-10000,4,1945-1949,3,Bueno,1,Bueno,110000,1
Residencial Baja Densidad,5000-10000,5,1975-1979,4,Regular,2,Regular,118858,2
Residencial Baja Densidad,5000-10000,5,1975-1979,2,Regular,2,Regular,153337,2
Residencial Baja Densidad,5000-10000,5,1975-1979,6,Regular,2,Regular,142953,2
Residencial Baja Densidad,5000-10000,5,1975-1979,4,Regular,2,Regular,118964,2
Residencial Baja Densidad,5000-10000,5,2000-2004,2,Regular,2,Regular,157000,2
Residencial Baja Densidad,5000-10000,5,2000-2004,2,Bueno,2,Bueno,176000,2
Residencial Baja Densidad,5000-10000,5,1975-1979,2,Regular,2,Regular,135960,1
Residencial Pueblo Flotante,5000-10000,5,2000-2004,3,Bueno,2,Bueno,226000,3
Residencial Baja Densidad,5000-10000,5,2000-2004,2,Bueno,2,Bueno,185850,2
Residencial Baja Densidad,5000-10000,5,1960-1964,4,Regular,2,Regular,140000,2
Residencial Densidad Media,5000-10000,5,1995-1999,2,Regular,4,Regular,206300,2
Residencial Baja Densidad,5000-10000,6,1975-1979,3,Regular,2,Regular,135000,1
Residencial Alta Densidad,5000-10000,8,1915-1919,5,Regular,0,Regular,160000,2
Residencial Baja Densidad,5000-10000,5,1965-1969,3,Regular,1,Regular,125000,1
Residencial Baja Densidad,5000-10000,7,1955-1959,2,Regular,1,Regular,129900,1
Residencial Baja Densidad,5000-10000,5,1940-1944,4,Regular,1,Regular,164000,2
Residencial Baja Densidad,5000-10000,5,1950-1954,3,Regular,2,Regular,130000,1
Residencial Alta Densidad,5000-10000,6,1945-1949,4,Regular,2,Regular,145000,2
Residencial Baja Densidad,5000-10000,5,1965-1969,3,Regular,1,Regular,100000,1
Residencial Baja Densidad,5000-10000,5,1990-1994,3,Bueno,2,Bueno,175900,3
Residencial Baja Densidad,5000-10000,5,1990-1994,3,Bueno,2,Bueno,179200,2
Residencial Baja Densidad,5000-10000,7,1965-1969,3,Regular,1,Regular,109900,1
Residencial Baja Densidad,5000-10000,5,1980-1984,2,Regular,1,Regular,125000,1
Residencial Baja Densidad,5000-10000,7,1970-1974,3,Regular,1,Regular,127000,1
Residencial Pueblo Flotante,5000-10000,5,2005-2009,2,Bueno,2,Bueno,185000,2
Residencial Densidad Media,5000-10000,4,1905-1909,2,Regular,1,Regular,85000,1
Residencial Baja Densidad,5000-10000,5,1945-1949,2,Regular,2,Regular,90000,2
Residencial Densidad Media,5000-10000,7,1935-1939,2,Bueno,1,Bueno,119000,1
Residencial Baja Densidad,5000-10000,9,1935-1939,3,Bueno,2,Bueno,155000,1
Residencial Baja Densidad,5000-10000,7,1945-1949,2,Regular,2,Regular,109500,1
Residencial Baja Densidad,5000-10000,6,1930-1934,3,Regular,1,Regular,149000,2
Residencial Baja Densidad,5000-10000,7,1950-1954,2,Regular,1,Regular,107500,1
Residencial Densidad Media,5000-10000,7,1915-1919,3,Malo,1,Malo,101000,1
Residencial Baja Densidad,5000-10000,7,1970-1974,2,Regular,1,Regular,124900,1
Residencial Baja Densidad,5000-10000,7,1935-1939,3,Bueno,1,Bueno,175000,2
Residencial Pueblo Flotante,5000-10000,5,2005-2009,2,Bueno,2,Bueno,187750,2
Residencial Baja Densidad,5000-10000,5,1970-1974,2,Regular,2,Regular,123000,1
Residencial Baja Densidad,5000-10000,7,1950-1954,3,Bueno,2,Bueno,134800,1
